仰望皓月 |0.9,0.85,0.60
月姐：|0.9,0.85,0.60
五块卵石：|0.40,0.85,0.75
无稽烦忧：|0.75,1.00,0.75
七轮红日：|1.00,0.75,0.75
追逐清风：|0.75,0.75,0.90
云雾纪元：|1.00,1.00,0.90
申辩智能：|1.00,0.75,1.00
徘徊预兆：|0.75,0.75,1.00
隔绝本能：|0.75,0.75,0.75
凝望群星：|0.90,0.60,0.40
GS：|0.90,0.60,0.40
边界已及：|0.55,0.70,0.55
HR：|0.55,0.70,0.55
NGI：|0.70,0.55,0.80
GM：|0.85,0.85,0.70
DSS：|0.25,0.55,0.40
绕组电流：|0.70,0.55,1.00
AA：|1.00,0.80,0.72
QR：|0.50,0.80,0.72
桶盈树浆：|0.65, 0.68, 0.0
未闭窗棂：|0.65, 0.68, 0.85
DV：|0.70, 1.00, 0.50
BGHL：|0.65, 0.68, 0.0
红色沙粒：|0.78, 0.21, 0.24
易变空梦：|0.41,0.70,0.47
朝圣峰会：|0.64,0.85,0.76
十二星上：|0.98,0.86,0.60
十四寒骨：|0.83,0.82,0.72
BA：|0.35,0.85,0.90
NM：|0.75,0.25,0.20
褪白枯水：|0.15,0.45,0.85
三只小蛙：|0.733, 0.988, 0.549
懊丧讯息：|1, 0, 0.255
思维碎片：|0.18, 0.094, 0.659
触及天幕：|0.035, 0.361, 0.231
Sonix: |0.941, 0.133, 0.208
Nacu: |0.314, 0.267, 0.98
Gabe Newell: |0.38, 0.627, 0.749
Enderzilla: |0.525, 0.263, 0.812
静默观测：|0.22,0.22,0.22
自动系统【静默观测】：|1.00,0.00,0.00
三相立方：|1.00,1.00,0.00
七色琉沙：|1.00,0.50,0.00
O:|0.22,0.22,0.22
TPC:|1.00,1.00,0.00
SCS:|1.00,0.50,0.00
AS[O]:|1.00,0.00,0.00十七星夜：|0.165, 0.671, 0.902
脉动火焰：|0.922, 0.529, 0.349
致命神经：|0.365, 0.733, 0.929
深渊壕沟：|0.357, 0.306, 0.839
阳光暖意：|0.788, 0.663, 0.384
十八寓言：|0.314, 0.69, 0.608
？？？：|0.9, 0.85, 0.60
平行恶意：|0.157, 0.471, 0.435
相邻偏差：|0.431, 0.859, 0.643
无比纯真：|0.902, 0.663, 1
设备清单：|0.9, 0.85, 0.60
故障完整：|0.878, 0.329, 0.329
八颗坠星：|0.639, 0.961, 0.388
荒凉孤星：|0.741, 0.357, 0.545
SSN:|0.165, 0.671, 0.902
PF:|0.922, 0.529, 0.349
LE:|0.365, 0.733, 0.929
POR:|0.557, 0.463, 0.69
LMP:|0.62, 0.569, 0.608
AT:|0.357, 0.306, 0.839
WOS:|0.788, 0.663, 0.384
EA:|0.314, 0.69, 0.608
???:|0.9, 0.85, 0.60
MP:|0.157, 0.471, 0.435
AN:|0.431, 0.859, 0.643
UI:|0.902, 0.663, 1
EM:|0.9, 0.85, 0.60
MI:|0.878, 0.329, 0.329
EFS:|0.639, 0.961, 0.388
DS:|0.741, 0.357, 0.545
